participant,session,phase,block,trial_in_block,global_trial,staircase,angle_bias,applied_angle,prop_used,true_shape,response_shape,accuracy,rt_choice,early_response,timeout,is_lapse,cue_color,cue_difficulty_prediction,expect_level,quest_alpha_mean,quest_alpha_sd,confidence_rating,confidence_rt,agency_rating,agency_rt,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,difficulty_level
SIM0009s,1,calibration,0,1,1,0,0,0,0.3052687571936162,square,dot,1.0,0.3150076242781394,True,False,False,gray,neutral,neutral,-0.30713177477483095,0.8,,,,,13.466052447890007,242.38894406202013,385.09752706650977,18,18,14.992391638687502,242.38894406202013,347.0861833125272,242.38894406202013,255.95911990534816,14.308681361678396,255.95911990534816,0.6399103866630118,
SIM0009s,1,calibration,0,2,2,90,90,-90,0.1695454202405392,dot,timeout,,,False,True,False,gray,neutral,neutral,-0.4054651081081643,0.8,,,,,6.038619171062413,0.0,299.4418555322709,0,0,5.6276325766100745,0.0,345.86809074203705,0.0,0.0,0.0,0.0,0.695708090167769,
SIM0009s,1,calibration,0,3,3,0,0,0,0.5914344494874272,square,dot,1.0,0.7142708533663334,True,False,False,gray,neutral,neutral,-0.21046510810816427,0.8,,,,,12.730965571094307,534.7005539859609,403.4772627394325,42,42,12.040441116636256,534.7005539859609,445.7825430342603,534.7005539859609,552.6325568583437,-20.666310025251192,552.6325568583437,0.7032577061194301,
SIM0009s,1,calibration,0,4,4,90,90,-90,0.28990207742988244,dot,square,0.0,0.6679943306120123,True,False,False,gray,neutral,neutral,-0.502131774774831,0.8,,,,,-1.4362659305427727,-57.450637221710906,482.5860408466359,40,40,-0.6218803088622511,-57.450637221710906,505.48634705607856,-57.450637221710906,-59.560645337864194,-2.3322880748479737,59.560645337864194,0.6017165601669969,
SIM0009s,1,calibration,0,5,5,0,0,0,0.5353872451378958,dot,square,1.0,0.2557367721869325,True,False,False,gray,neutral,neutral,-0.11546510810816427,0.8,,,,,8.817589150264983,132.26383725397474,244.23999706745022,15,15,8.36243818733029,132.26383725397474,250.94878026581114,132.26383725397474,144.39113853689267,9.034132202966063,144.39113853689267,0.7976904247090029,
SIM0009s,1,calibration,0,6,6,90,90,-90,0.19363744825627657,dot,square,1.0,0.25663227092615054,True,False,False,gray,neutral,neutral,-0.407131774774831,0.8,,,,,7.4650621213258885,111.97593181988833,189.58536504549966,15,15,8.295277589741751,111.97593181988833,179.91256523598685,111.97593181988833,120.91000901621553,-10.19027679497667,120.91000901621553,0.7717315613639534,
SIM0009s,1,calibration,0,7,7,0,0,0,0.12175036808795119,square,square,0.0,0.26131128323991026,True,False,False,gray,neutral,neutral,-0.20879844144149762,0.8,,,,,0.09267142735104761,1.3900714102657141,175.11489513563413,15,15,-0.2216394347206183,1.3900714102657141,144.2817479031078,1.3900714102657141,1.4470251966173393,0.03531386015419901,1.4470251966173393,0.19864486405972556,
SIM0009s,1,calibration,0,8,8,90,90,-90,0.3644443566997939,square,dot,1.0,0.31925865266142783,True,False,True,gray,neutral,neutral,-0.31379844144149766,0.8,,,,,16.238697306083452,308.5352488155856,210.39014577215562,19,19,15.56426225035167,308.5352488155856,187.64764678573903,308.5352488155856,325.33605407134144,-8.189676614109139,325.33605407134144,0.9,
SIM0009s,1,calibration,0,9,9,0,0,0,0.18418946425356936,square,square,0.0,0.8986076472659149,True,False,False,gray,neutral,neutral,-0.3004651081081643,0.8,,,,,1.271657737611044,67.39786009338533,128.7846830104841,53,53,2.5175405560010713,67.39786009338533,136.83541264098474,67.39786009338533,70.66793240215793,1.742498355932097,70.66793240215793,0.5683479444785395,
SIM0009s,1,calibration,0,10,10,90,90,90,0.274791397012403,dot,dot,0.0,0.5805817363451896,True,False,False,gray,neutral,neutral,-0.40546510810816433,0.8,,,,,-0.3962290413729601,-13.471787406680644,322.95500280912324,34,34,0.4593652831064803,-13.471787406680644,284.4401664398361,-13.471787406680644,-14.617751080665238,-1.0135512240429885,14.617751080665238,0.318242991595135,
SIM0009s,1,calibration,0,11,11,0,0,0,0.47145826851707723,dot,dot,1.0,0.2671300776154782,True,False,False,gray,neutral,neutral,-0.21046510810816427,0.8,,,,,15.001531485264676,240.02450376423482,471.3169130104787,16,16,15.68029635268052,240.02450376423482,415.5957025458301,240.02450376423482,257.49491060631846,3.6142168478175236,257.49491060631846,0.8995917169266503,
SIM0009s,1,calibration,0,12,12,90,90,90,0.6994738783873402,dot,dot,1.0,0.7007996775044986,True,False,False,gray,neutral,neutral,-0.3154651081081643,0.8,,,,,18.543486665455692,778.8264399491391,302.06379418865265,42,42,19.02751775514989,778.8264399491391,322.9179354650964,778.8264399491391,828.1198140635772,-64.95971054501373,828.1198140635772,0.5931629638966972,
SIM0009s,1,calibration,0,13,13,0,0,0,0.25061636707988333,dot,square,1.0,0.851836847845284,True,False,False,gray,neutral,neutral,-0.12213177477483093,0.8,,,,,2.7511014518641934,140.30617404507387,117.34982052515592,51,51,2.834733861880245,140.30617404507387,112.53800172462103,140.30617404507387,154.26979478198103,-3.473253169792231,154.26979478198103,0.7701586567024418,
SIM0009s,1,calibration,0,14,14,90,90,90,0.1295251963736042,dot,dot,1.0,0.3222154341218931,True,False,False,gray,neutral,neutral,-0.22713177477483099,0.8,,,,,0.8488901480834938,16.128912813586382,374.6647604811364,19,19,1.580489648820337,16.128912813586382,362.6496909118385,16.128912813586382,17.021297723539035,1.014720448099534,17.021297723539035,0.833613686687766,
SIM0009s,1,calibration,0,15,15,0,0,0,0.6499255943983796,square,dot,1.0,0.4861763958543251,True,False,False,gray,neutral,neutral,-0.035465108108164264,0.8,,,,,11.601586134804371,336.44599790932676,288.42190225763767,29,29,10.439849406079354,336.44599790932676,319.823526096928,336.44599790932676,367.7334806015394,4.498155276512402,367.7334806015394,0.410237820427146,
SIM0009s,1,calibration,0,16,16,90,90,-90,0.13325871048989266,square,timeout,,,False,True,False,gray,neutral,neutral,-0.22713177477483099,0.8,,,,,-1.398260639527865,-0.0,447.6793017936115,0,0,-0.9073834365616578,-0.0,466.3790184184312,-0.0,-0.0,0.0,0.0,0.4737084789714921,
SIM0009s,1,calibration,0,17,17,0,0,0,0.16978365101504947,square,square,0.0,0.25452066218029007,True,False,False,gray,neutral,neutral,-0.12046510810816427,0.8,,,,,1.853156498321815,27.797347474827223,251.2635630515911,15,15,3.2187126643763952,27.797347474827223,273.30396806686105,27.797347474827223,29.446631394558985,1.1396974251381364,29.446631394558985,0.31835986129074145,
SIM0009s,1,calibration,0,18,18,90,90,90,0.5507205259747399,square,dot,1.0,0.2592906557696854,True,False,False,gray,neutral,neutral,-0.14213177477483097,0.8,,,,,10.037420591278805,150.56130886918206,308.89683413578405,15,15,10.414195142726225,150.56130886918206,331.13469423382713,150.56130886918206,154.03287898439592,-10.03547309725663,154.03287898439592,0.6188451012719145,
