participant,session,phase,block,trial_in_block,global_trial,staircase,angle_bias,applied_angle,prop_used,true_shape,response_shape,accuracy,rt_choice,early_response,timeout,is_lapse,cue_color,cue_difficulty_prediction,expect_level,quest_alpha_mean,quest_alpha_sd,confidence_rating,confidence_rt,agency_rating,agency_rt,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,difficulty_level
SIM0003s,1,calibration,0,1,1,0,0,0,0.6605621683978493,square,dot,1.0,0.9877324302638729,True,False,False,gray,neutral,neutral,-0.30713177477483095,0.8,,,,,13.37552423749249,789.155930012057,136.9952735512518,59,59,11.634438916225628,789.155930012057,153.93700101466288,789.155930012057,842.382504346378,-63.38677716168376,842.382504346378,0.7429512237395538,
SIM0003s,1,calibration,0,2,2,90,90,90,0.22057281136742685,square,square,0.0,1.829293421178182,True,False,False,gray,neutral,neutral,-0.5037984414414975,0.8,,,,,-5.422063051676346,-591.0048726327218,129.25985484603925,109,109,-5.085291624822072,-591.0048726327218,138.31571738851036,-591.0048726327218,-627.1770421026716,-58.94930527555484,627.1770421026716,0.5178807960835559,
SIM0003s,1,calibration,0,3,3,0,0,0,0.6910640988540216,dot,dot,1.0,1.4550311571125483,True,False,False,gray,neutral,neutral,-0.21046510810816427,0.8,,,,,9.860587334807995,857.8710981282956,382.7982567084376,87,87,11.096072902193363,857.8710981282956,417.90189754174116,857.8710981282956,868.4357560456344,-2.799666938647493,868.4357560456344,0.8164554301558665,
SIM0003s,1,calibration,0,4,4,90,90,90,0.1610174245314478,square,square,1.0,1.1515622081138177,True,False,False,gray,neutral,neutral,-0.40713177477483087,0.8,,,,,8.211717052060788,566.6084765921944,405.4792929635333,69,69,7.046463851525393,566.6084765921944,462.0359427970937,566.6084765921944,621.0786904710448,6.608887784460354,621.0786904710448,0.60222054517285,
SIM0003s,1,calibration,0,5,5,0,0,0,0.15151981552175353,dot,square,1.0,0.9541755863638638,True,False,False,gray,neutral,neutral,-0.11546510810816427,0.8,,,,,9.859363229281097,561.9837040690226,143.03963585875982,57,57,9.25460694434983,561.9837040690226,153.95205179011774,561.9837040690226,614.5349897636776,43.974455740143924,614.5349897636776,0.7692368619129877,
SIM0003s,1,calibration,0,6,6,90,90,90,0.3072998617749663,square,dot,1.0,1.3505639774071978,True,False,False,gray,neutral,neutral,-0.3121317747748309,0.8,,,,,4.49325915354795,363.95399143738393,175.36495470350144,81,81,4.766107243421518,363.95399143738393,144.54700791110218,363.95399143738393,399.5407940114434,-30.906348568831827,399.5407940114434,0.5586210107870239,
SIM0003s,1,calibration,0,7,7,0,0,0,0.304301346795465,dot,dot,1.0,1.8555264258364756,True,False,False,gray,neutral,neutral,-0.02213177477483093,0.8,,,,,5.736333235313838,636.732989119836,173.20645082204442,111,111,5.886971224914521,636.732989119836,154.57261258909017,636.732989119836,641.8031810040841,-3.6992734160282317,641.8031810040841,0.5406086798964552,
SIM0003s,1,calibration,0,8,8,90,90,90,0.37315072831123325,square,dot,1.0,1.408852451256903,True,False,False,gray,neutral,neutral,-0.21879844144149757,0.8,,,,,15.113158861040992,1269.5053443274433,242.4702650720962,84,84,15.662261059852751,1269.5053443274433,196.0537602779535,1269.5053443274433,1280.622099764197,-48.70308716721761,1280.622099764197,0.5773362009573328,
SIM0003s,1,calibration,0,9,9,0,0,0,0.6272985818003497,dot,dot,0.0,1.3477271240528104,True,False,False,gray,neutral,neutral,-0.1137984414414976,0.8,,,,,7.229220813540897,578.3376650832718,281.3981657504572,80,80,7.243746029820595,578.3376650832718,317.72226432596693,578.3376650832718,579.3179955639806,-37.77175035066616,579.3179955639806,0.48319174687371175,
SIM0003s,1,calibration,0,10,10,90,90,-90,0.20158402880041057,square,dot,0.0,1.6665848321437684,True,False,False,gray,neutral,neutral,-0.31046510810816424,0.8,,,,,-0.06956639549322612,-6.887073153829386,450.54371038989507,99,99,-1.4641741569617197,-6.887073153829386,442.8841837005587,-6.887073153829386,-7.381976207764774,-0.17533866266159248,7.381976207764774,0.2909643035858575,
SIM0003s,1,calibration,0,11,11,0,0,0,0.33122773635131497,dot,dot,0.0,1.3505137224554098,True,False,False,gray,neutral,neutral,-0.2037984414414976,0.8,,,,,8.299596724838302,672.2673347119025,197.49867520061963,81,81,7.213062918425675,672.2673347119025,197.12909320297277,672.2673347119025,697.4918688875628,29.86190447510391,697.4918688875628,0.547565661594399,
SIM0003s,1,calibration,0,12,12,90,90,90,0.1139112902948899,square,dot,1.0,1.121678382542982,True,False,False,gray,neutral,neutral,-0.22046510810816422,0.8,,,,,3.044609057188485,203.9888068316285,193.18530468442708,67,67,3.1280657923497657,203.9888068316285,178.93744307267912,203.9888068316285,221.07467654444255,-17.6398215327526,221.07467654444255,0.5844558927916668,
SIM0003s,1,calibration,0,13,13,0,0,0,0.3677602034234634,square,square,1.0,1.6464310606117218,True,False,False,gray,neutral,neutral,-0.11546510810816428,0.8,,,,,8.14776831477633,798.4812948480804,166.33770126265634,98,98,7.936410158982318,798.4812948480804,188.43889442497584,798.4812948480804,831.7586566419196,69.8324404997544,831.7586566419196,0.759117271198007,
SIM0003s,1,calibration,0,14,14,90,90,90,0.4098446127495327,square,square,1.0,1.6878518033986922,True,False,False,gray,neutral,neutral,-0.1321317747748309,0.8,,,,,11.133003226560856,1124.4333258826464,235.85579119864798,101,101,11.72911466191341,1124.4333258826464,265.582988188993,1124.4333258826464,1165.4317804120546,-26.059219573956298,1165.4317804120546,0.8281668298689646,
SIM0003s,1,calibration,0,15,15,0,0,0,0.5114549112300445,square,dot,1.0,0.9496028651948178,True,False,False,gray,neutral,neutral,-0.02879844144149761,0.8,,,,,17.102945187550333,957.7649305028186,351.1007244258137,56,56,16.11218791207583,957.7649305028186,358.00936723009903,957.7649305028186,1014.709562094177,0.930180666317581,1014.709562094177,0.7685912687347152,
