thisRow.t,notes,trial_num,participant,session,phase,cue_color,target_difficulty,trial_index_within_staircase,prop_used,stimulus_logit,staircase_id,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,quest_alpha_mean,quest_alpha_sd,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,angle_bias,applied_angle_bias,trials_completed_this_staircase,alpha_sd_current,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,difficulty_type,trial_index_within_type,threshold_source,s_threshold_60pct,s_threshold_80pct,cue_difficulty_prediction,actual_difficulty_level,target_percentage,confidence_rating,agency_rating,s_threshold_70pct,participant.1,session.1,learning_order,counterbalance_index
,,1,SIM006s,001,calibration_interleaved,black,unknown,1,0.18257799716715503,-1.4989780253820413,0,1.0,False,3.3030242447489617,True,square,square,-0.5129938783067621,0.784,3.0999063085212555,2.0,0.025,0.02,0,0,1,0.784,9.231826226938535,1827.90159293383,280.84284434730347,198,198,8.075512485576803,1827.90159293383,243.01245905540037,1827.90159293383,1933.5168461564285,52.84197186643063,1933.5168461564285,0.688249899020046,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,2,SIM006s,001,calibration_interleaved,black,unknown,1,0.12616490402967379,-1.935301867065145,90,1.0,False,3.29315275440566,True,dot,dot,-0.5558990560722674,0.784,2.7547652244419285,2.0,0.025,0.02,90,90,1,0.784,5.534844108943474,1090.3642894618645,345.3348752956337,197,197,4.012589363956006,1090.3642894618645,382.3169228370088,1090.3642894618645,1146.9349089471777,-93.29237839619373,1146.9349089471777,0.6111711585647817,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,3,SIM006s,001,calibration_interleaved,black,unknown,2,0.23798553557395777,-1.1637556407676255,0,1.0,False,3.7517187057211765,True,dot,dot,-0.575900848677979,0.76832,3.39214312514303,2.0,0.025,0.02,0,0,2,0.76832,6.931254312600916,1559.5322203352061,431.1030272941685,225,225,5.957347186742153,1559.5322203352061,493.35007338105873,1559.5322203352061,1694.3507187738664,127.49660346818561,1694.3507187738664,0.9,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,4,SIM006s,001,calibration_interleaved,black,unknown,2,0.4607263291259444,-0.15741895965299593,90,1.0,False,1.6485096551526444,True,square,square,-0.5173793134184045,0.76832,2.6887194210522445,2.0,0.025,0.02,90,90,2,0.76832,3.3703983348658637,330.29903681685465,376.51100949819926,98,98,3.950117254100007,330.29903681685465,341.2309316260088,330.29903681685465,345.66365339656056,26.80724849607135,345.66365339656056,0.6987491634807822,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,5,SIM006s,001,calibration_interleaved,black,unknown,3,0.6419402688515654,0.5837954409228717,0,0.0,False,1.1966561889853975,True,dot,square,-0.6860719961900598,0.7529536,3.4361233649102565,2.0,0.025,0.02,0,0,3,0.7529536,6.90483684216753,490.2434157938946,198.28273735136634,71,71,7.707740377687557,490.2434157938946,169.36506516015848,490.2434157938946,538.7108600924331,11.4861951292746,538.7108600924331,0.25951755610846117,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,6,SIM006s,001,calibration_interleaved,black,unknown,3,0.5776276425509431,0.3130421554300977,90,1.0,False,1.9472578507281615,True,square,square,-0.4384892738777968,0.7529536,2.9498734628605527,2.0,0.025,0.02,90,-90,3,0.7529536,12.113540583386472,1405.1707076728308,165.24987943811539,116,116,11.326868578946685,1405.1707076728308,166.67678030683976,1405.1707076728308,1467.827534528045,90.84658863768576,1467.827534528045,0.8170276333201345,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,7,SIM006s,001,calibration_interleaved,black,unknown,4,0.3685386913873834,-0.5384909677932561,0,1.0,False,1.968890798494023,True,square,square,-0.6722977668730248,0.737894528,2.9798042919304155,2.0,0.025,0.02,0,0,4,0.737894528,9.380209487225693,1106.8647194926318,316.46962379581424,118,118,9.421978782435215,1106.8647194926318,343.1122289065353,1106.8647194926318,1176.7140441273393,53.737781234413326,1176.7140441273393,0.6450971793577519,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,8,SIM006s,001,calibration_interleaved,black,unknown,4,0.22787440672862708,-1.220352592876933,90,1.0,False,1.5234335798747483,True,dot,dot,-0.5114631836510495,0.737894528,3.8749796241724948,2.0,0.025,0.02,90,90,4,0.737894528,7.587479036035844,690.4605922792617,134.00361434197853,91,91,6.555463224179485,690.4605922792617,144.9307742147345,690.4605922792617,737.0186062305341,48.650087841688446,737.0186062305341,0.7402819502338481,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,9,SIM006s,001,calibration_interleaved,black,unknown,5,0.4610509791232377,-0.15611236483814817,0,1.0,False,4.5658347646410355,True,dot,dot,-0.6249807716864945,0.72313663744,2.8702728150081636,2.0,0.025,0.02,0,0,5,0.72313663744,12.179501079181131,3325.003794616449,432.4771145543391,273,273,11.943117679261258,3325.003794616449,352.96285745371887,3325.003794616449,3437.8324968348093,177.5301828543397,3437.8324968348093,0.40730673698647235,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
,,10,SIM006s,001,calibration_interleaved,black,unknown,5,0.2864509115999708,-0.912684050735015,90,1.0,False,2.5512626797006557,True,dot,dot,-0.5482417631337463,0.72313663744,2.8469185532354344,2.0,0.025,0.02,90,90,5,0.72313663744,8.535972572628406,1306.0038036121462,198.2957996165074,153,153,7.532211753489773,1306.0038036121462,221.12467377726804,1306.0038036121462,1435.988551383319,117.0254771721289,1435.988551383319,0.7350798528177717,,,,,,,,,,,,SIM006s,001,"[0, 90]",6
