thisRow.t,notes,trial_num,participant,session,phase,cue_color,target_difficulty,trial_index_within_staircase,prop_used,stimulus_logit,staircase_id,accuracy,is_timeout,rt_choice,early_response,true_shape,resp_shape,quest_alpha_mean,quest_alpha_sd,quest_beta_mean,quest_beta_sd,quest_lambda_mean,quest_lambda_sd,angle_bias,applied_angle_bias,trials_completed_this_staircase,alpha_sd_current,mean_evidence,sum_evidence,var_evidence,rt_frame,num_frames_preRT,mean_evidence_preRT,sum_evidence_preRT,var_evidence_preRT,cum_evidence_preRT,max_cum_evidence_preRT,min_cum_evidence_preRT,max_abs_cum_evidence_preRT,prop_positive_evidence_preRT,difficulty_type,trial_index_within_type,threshold_source,s_threshold_60pct,s_threshold_80pct,cue_difficulty_prediction,actual_difficulty_level,target_percentage,confidence_rating,agency_rating,s_threshold_70pct,participant.1,session.1,learning_order,counterbalance_index
,,1,SIM012s,001,calibration_interleaved,black,unknown,1,0.48872649390114536,-0.04510166817644133,0,1.0,False,2.5115011868763277,True,dot,dot,-0.3700293698482115,0.784,1.388692742158093,2.0,0.025,0.02,0,0,1,0.784,10.30500135536447,1545.7502033046703,492.7410002534258,150,150,10.32865573020696,1545.7502033046703,459.65559475517165,1545.7502033046703,1654.3385171049624,-112.60416138877025,1654.3385171049624,0.9,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,2,SIM012s,001,calibration_interleaved,black,unknown,1,0.557554506032817,0.2312429878382356,90,1.0,False,2.0063977643482143,True,dot,dot,-0.34285547867343497,0.784,2.4620484893618353,2.0,0.025,0.02,90,90,1,0.784,8.6737432541031,1040.849190492372,194.71169834727306,120,120,8.31389991031498,1040.849190492372,158.3440948091843,1040.849190492372,1056.0807807577896,-27.10110411842749,1056.0807807577896,0.6402584360745468,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,3,SIM012s,001,calibration_interleaved,black,unknown,2,0.13128424826672222,-1.88965116702857,0,1.0,False,3.3023324851883564,True,square,square,-0.5169261435756461,0.76832,2.909805495558307,2.0,0.025,0.02,0,0,2,0.76832,4.0549612009588305,802.8823177898485,303.61166759520927,198,198,4.856232867186981,802.8823177898485,355.340794183473,802.8823177898485,804.0755583250158,-30.082413372821264,804.0755583250158,0.6058178595140004,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,4,SIM012s,001,calibration_interleaved,black,unknown,2,0.21388075681467536,-1.3016898412341074,90,1.0,False,0.7960328772474607,True,dot,dot,-0.4355428003876333,0.76832,2.453239544049211,2.0,0.025,0.02,90,-90,2,0.76832,4.125022940233343,193.87607819096712,409.1055427420235,47,47,5.549124577120052,193.87607819096712,395.5044028302775,193.87607819096712,202.1585324584197,7.724148901139657,202.1585324584197,0.8799327967973916,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,5,SIM012s,001,calibration_interleaved,black,unknown,3,0.5089189285691413,0.03567949887415711,0,0.0,False,2.800673905322898,True,dot,square,-0.5694236796083775,0.7529536,2.851199549798276,2.0,0.025,0.02,0,0,3,0.7529536,4.883089806167909,820.3590874362087,148.2904443832281,168,168,5.1382057739210305,820.3590874362087,154.98038805994258,820.3590874362087,851.2153739195015,-12.526540327168485,851.2153739195015,0.366116244808115,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,6,SIM012s,001,calibration_interleaved,black,unknown,3,0.21865272502535538,-1.2735349645297982,90,1.0,False,1.4154712855309568,True,square,square,-0.515152055981139,0.7529536,2.4370705110484514,2.0,0.025,0.02,90,-90,3,0.7529536,7.025063172215856,590.1053064661319,413.6366525572357,84,84,7.1561590543239975,590.1053064661319,384.4116781962909,590.1053064661319,640.103134272743,40.68784149825436,640.103134272743,0.6921638663739765,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,7,SIM012s,001,calibration_interleaved,black,unknown,4,0.6619130260041997,0.6718309847512719,0,1.0,False,1.9309046026626848,True,square,square,-0.4535732442681435,0.737894528,2.315264211263222,2.0,0.025,0.02,0,0,4,0.737894528,10.951057658895701,1259.3716307730056,311.3541169890068,115,115,9.639499669672643,1259.3716307730056,360.7327917401394,1259.3716307730056,1368.3055346164238,-9.306513603596558,1368.3055346164238,0.766683409126111,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,8,SIM012s,001,calibration_interleaved,black,unknown,4,0.15207648023611467,-1.7184068890148225,90,1.0,False,1.6575600389681007,True,square,square,-0.6274558403976161,0.737894528,3.213790100322536,2.0,0.025,0.02,90,90,4,0.737894528,10.576756547158633,1047.0988981687046,216.45072155528493,99,99,9.377390404519456,1047.0988981687046,213.57403557516486,1047.0988981687046,1054.5045407641683,-95.91035465584156,1054.5045407641683,0.7799626331604875,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,9,SIM012s,001,calibration_interleaved,black,unknown,5,0.5554276191007069,0.22262542357515205,0,1.0,False,3.1320201366260254,True,square,square,-0.39158836638250805,0.72313663744,3.7115625672446835,2.0,0.025,0.02,0,0,5,0.72313663744,10.486972587927083,1961.0638739423646,226.9594123581297,187,187,11.566005208957671,1961.0638739423646,253.81216160412322,1961.0638739423646,1967.576924243888,-55.22778314932745,1967.576924243888,0.5287065420907855,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,10,SIM012s,001,calibration_interleaved,black,unknown,5,0.21815440562243993,-1.2764541766574622,90,0.0,False,1.1594161077395961,True,dot,square,-0.5679643262404636,0.72313663744,3.0007970092004332,2.0,0.025,0.02,90,90,5,0.72313663744,1.7445906839930951,120.37675719552357,380.4862008294668,69,69,0.46248540144906847,120.37675719552357,305.0767311723738,120.37675719552357,126.28671879538942,-7.569626199582749,126.28671879538942,0.3358234707458867,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,11,SIM012s,001,calibration_interleaved,black,unknown,6,0.6198770237842166,0.48902628764355843,0,1.0,False,2.7572462499716632,True,square,square,-0.31233304752016205,0.7086739046912,2.507584709651497,2.0,0.025,0.02,0,0,6,0.7086739046912,17.020741663965676,2808.422374554337,173.22004899458975,165,165,17.83544448812964,2808.422374554337,146.35828425912408,2808.422374554337,3061.6400131137602,44.25594302633505,3061.6400131137602,0.7548289012533779,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,12,SIM012s,001,calibration_interleaved,black,unknown,6,0.6496465757655714,0.6174860569017492,90,1.0,False,1.9619576929236493,True,square,square,-0.46127379175766436,0.7086739046912,3.3872940039727855,2.0,0.025,0.02,90,90,6,0.7086739046912,13.865487892480715,1622.2620834202437,260.4795962529607,117,117,13.356543223134661,1622.2620834202437,242.11019374006025,1622.2620834202437,1674.971886724687,93.36288910541028,1674.971886724687,0.5785758826416956,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,13,SIM012s,001,calibration_interleaved,black,unknown,7,0.44025528909294454,-0.24012604526318904,0,1.0,False,1.2836013225580378,True,square,square,-0.3059547623207961,0.694500426597376,2.916568425851386,2.0,0.025,0.02,0,0,7,0.694500426597376,10.32058185951852,794.684803182926,204.6004923525019,77,77,10.084035313224597,794.684803182926,221.93756567773974,794.684803182926,812.7407385275992,-4.503937161024236,812.7407385275992,0.8456481304002419,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,14,SIM012s,001,calibration_interleaved,black,unknown,7,0.24782857691708055,-1.110226969146762,90,1.0,False,1.7033343193269141,True,dot,dot,-0.5185979890937014,0.694500426597376,2.836179255860066,2.0,0.025,0.02,90,-90,7,0.694500426597376,1.309732679841062,133.59273334378832,480.01352363760554,102,102,0.1542952858284552,133.59273334378832,454.80487918882056,133.59273334378832,143.2911476507864,6.806668031185416,143.2911476507864,0.7878372702210963,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,15,SIM012s,001,calibration_interleaved,black,unknown,8,0.23148445366677914,-1.1999480757410297,0,0.0,False,2.1300277615576557,True,dot,square,-0.22847534182437584,0.6806104180654284,3.4874458759537013,2.0,0.025,0.02,0,0,8,0.6806104180654284,1.052711154626444,133.6943166375584,143.61887116910074,127,127,2.089876829707764,133.6943166375584,148.67609672205646,133.6943166375584,133.96436177680772,7.267916344638729,133.96436177680772,0.22134010514270946,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
,,16,SIM012s,001,calibration_interleaved,black,unknown,8,0.13580886721080537,-1.850545453748832,90,1.0,False,1.7321401139004187,True,dot,dot,-0.6340334360304793,0.6806104180654284,3.13441654392204,2.0,0.025,0.02,90,90,8,0.6806104180654284,6.768240936483542,697.1288164578048,151.0045399018692,103,103,5.451784686579315,697.1288164578048,176.2879541509618,697.1288164578048,734.9775812035424,-15.20083613909649,734.9775812035424,0.7506801771859849,,,,,,,,,,,,SIM012s,001,"[0, 90]",4
